x_rel_mm,y_rel_mm,value
-112,64,1.153845
-110,64,1.163009
-108,64,1.121186
-106,64,1.14746
-104,64,1.18585
-102,64,1.167189
-100,64,1.137047
-98,64,1.145096
-96,64,1.134627
-94,64,1.143052
-92,64,1.157879
-90,64,1.165732
-88,64,1.141451
-86,64,1.132148
-84,64,1.145627
-82,64,1.144017
-80,64,1.152591
-78,64,1.152541
-76,64,1.133687
-74,64,1.139505
-72,64,1.153298
-70,64,1.148372
-68,64,1.134232
-66,64,1.1487
-64,64,1.145669
-62,64,1.207836
-60,64,1.215882
-58,64,1.217713
-56,64,1.267732
-54,64,1.183935
-52,64,1.141063
-50,64,1.165318
-48,64,1.139186
-46,64,1.135375
-44,64,1.152407
-42,64,1.147261
-40,64,1.956282
-38,64,1.975749
-36,64,1.975304
-34,64,1.971192
-32,64,1.953594
-30,64,1.958074
-28,64,1.956926
-26,64,1.958418
-24,64,1.96192
-22,64,1.960232
-20,64,1.954424
-18,64,1.960765
-16,64,1.95489
-14,64,1.966904
-12,64,1.956512
-10,64,1.957574
-8,64,1.969229
-6,64,1.963525
-4,64,1.961805
-2,64,1.954303
0,64,1.959471
2,64,1.954807
4,64,1.955809
6,64,1.955454
8,64,1.95399
10,64,1.952352
12,64,1.96885
14,64,1.976604
16,64,1.957967
18,64,1.962565
20,64,1.961722
22,64,1.970575
24,64,1.966765
26,64,1.965333
28,64,1.961765
30,64,1.959937
32,64,1.95474
34,64,1.969227
36,64,1.968993
38,64,1.970685
40,64,1.971841
42,64,1.154821
44,64,1.171023
46,64,1.163346
48,64,1.16412
50,64,1.16758
52,64,1.155358
54,64,1.099756
56,64,1.153035
58,64,1.153758
60,64,1.14995
62,64,1.142764
64,64,1.156289
66,64,1.155372
68,64,1.170107
70,64,1.159453
72,64,1.14935
74,64,1.164417
76,64,1.130353
78,64,1.148827
80,64,1.168162
82,64,1.152931
84,64,1.155136
86,64,1.163941
88,64,1.153023
90,64,1.268436
92,64,1.210395
94,64,1.194836
96,64,1.22039
98,64,1.145159
100,64,1.146561
102,64,1.153537
104,64,1.153988
106,64,1.160341
108,64,1.146917
110,64,1.169382
112,64,1.160271
114,64,1.157776
116,64,1.176709
118,64,1.162189
120,64,1.14887
122,64,1.169879
124,64,1.157537
126,64,1.1628
126,62,1.169547
124,62,1.129992
122,62,1.14337
120,62,1.138826
118,62,1.13323
116,62,1.166091
114,62,1.149264
112,62,1.16545
110,62,1.146607
108,62,1.146914
106,62,1.152589
104,62,1.162273
102,62,1.140443
100,62,1.182544
98,62,1.166649
96,62,1.245754
94,62,1.167058
92,62,1.166328
90,62,1.212503
88,62,1.246428
86,62,1.170488
84,62,1.164343
82,62,1.146089
80,62,1.164055
78,62,1.162166
76,62,1.154448
74,62,1.153081
72,62,1.141459
70,62,1.147442
68,62,1.151272
66,62,1.145094
64,62,1.150065
62,62,1.139689
60,62,1.148469
58,62,1.149605
56,62,1.170084
54,62,1.155307
52,62,1.174248
50,62,1.190234
48,62,1.153306
46,62,1.152759
44,62,1.147829
42,62,1.13451
40,62,1.971963
38,62,1.973102
36,62,1.967343
34,62,1.969428
32,62,1.955034
30,62,1.95775
28,62,1.958043
26,62,1.969998
24,62,1.967713
22,62,1.969631
20,62,1.956886
18,62,1.971448
16,62,1.972976
14,62,1.973938
12,62,1.965372
10,62,1.954832
8,62,1.956954
6,62,1.958065
4,62,1.961618
2,62,1.95775
0,62,1.962753
-2,62,1.959981
-4,62,1.963608
-6,62,1.960708
-8,62,1.962047
-10,62,1.962911
-12,62,1.952013
-14,62,1.959158
-16,62,1.963342
-18,62,1.950694
-20,62,1.955484
-22,62,1.95637
-24,62,1.95992
-26,62,1.963664
-28,62,1.960386
-30,62,1.958428
-32,62,1.959921
-34,62,1.974809
-36,62,1.9783
-38,62,1.973457
-40,62,1.957212
-42,62,1.138031
-44,62,1.125373
-46,62,1.133791
-48,62,1.140969
-50,62,1.150452
-52,62,1.159983
-54,62,1.158444
-56,62,1.131726
-58,62,1.293003
-60,62,1.220042
-62,62,1.21904
-64,62,1.061294
-66,62,1.142701
-68,62,1.150578
-70,62,1.148058
-72,62,1.159218
-74,62,1.157521
-76,62,1.135526
-78,62,1.145563
-80,62,1.140291
-82,62,1.140454
-84,62,1.149204
-86,62,1.146127
-88,62,1.136246
-90,62,1.140532
-92,62,1.13571
-94,62,1.138949
-96,62,1.141809
-98,62,1.128889
-100,62,1.142572
-102,62,1.127395
-104,62,1.139978
-106,62,1.132917
-108,62,1.135346
-110,62,1.13967
-112,62,1.134279
-114,62,1.156621
-116,62,1.149582
-118,62,1.163936
-120,62,1.145463
-122,62,1.149666
-124,62,1.159888
-126,62,1.142717
-128,60,1.125792
-126,60,1.13912
-124,60,1.120994
-122,60,1.140198
-120,60,1.132803
-118,60,1.148751
-116,60,1.148507
-114,60,1.149113
-112,60,1.16032
-110,60,1.157009
-108,60,1.126672
-106,60,1.147798
-104,60,1.142688
-102,60,1.154685
-100,60,1.134859
-98,60,1.132924
-96,60,1.14382
-94,60,1.140181
-92,60,1.140669
-90,60,1.169738
-88,60,1.137773
-86,60,1.140189
-84,60,1.150209
-82,60,1.15079
-80,60,1.144944
-78,60,1.128626
-76,60,1.14697
-74,60,1.154658
-72,60,1.159431
-70,60,1.142636
-68,60,1.155993
-66,60,1.15776
-64,60,1.234911
-62,60,1.161499
-60,60,1.175847
-58,60,1.218001
-56,60,1.090737
-54,60,1.124669
-52,60,1.138338
-50,60,1.143798
-48,60,1.135027
-46,60,1.147714
-44,60,1.133141
-42,60,1.133969
-40,60,1.95266
-38,60,1.95806
-36,60,1.977821
-34,60,1.979357
-32,60,1.961657
-30,60,1.959517
-28,60,1.95894
-26,60,1.964303
-24,60,1.962763
-22,60,1.956934
-20,60,1.955123
-18,60,1.955401
-16,60,1.958559
-14,60,1.956572
-12,60,1.954473
-10,60,1.963396
-8,60,1.950256
-6,60,1.957962
-4,60,1.961287
-2,60,1.962847
0,60,1.961305
2,60,1.960639
4,60,1.958585
6,60,1.964975
8,60,1.961021
10,60,1.9614
12,60,1.968796
14,60,1.97168
16,60,1.973678
18,60,1.967344
20,60,1.963201
22,60,1.962959
24,60,1.964687
26,60,1.97159
28,60,1.954047
30,60,1.956429
32,60,1.955002
34,60,1.96887
36,60,1.968435
38,60,1.971183
40,60,1.970683
42,60,1.154332
44,60,1.182002
46,60,1.193028
48,60,1.195672
50,60,1.278796
52,60,1.164504
54,60,1.174092
56,60,1.166676
58,60,1.13548
60,60,1.144619
62,60,1.146773
64,60,1.153501
66,60,1.149984
68,60,1.179409
70,60,1.141139
72,60,1.156276
74,60,1.151103
76,60,1.160029
78,60,1.152377
80,60,1.164575
82,60,1.144099
84,60,1.16532
86,60,1.16302
88,60,1.154116
90,60,1.259985
92,60,1.250943
94,60,1.24833
96,60,1.152706
98,60,1.165385
100,60,1.17508
102,60,1.159779
104,60,1.192586
106,60,1.174405
108,60,1.144624
110,60,1.161543
112,60,1.167154
114,60,1.155146
116,60,1.164144
118,60,1.131716
120,60,1.161438
122,60,1.152598
124,60,1.155318
126,60,1.150511
128,60,1.196633
128,58,1.185177
126,58,1.162517
124,58,1.148143
122,58,1.162996
120,58,1.155654
118,58,1.169259
116,58,1.153019
114,58,1.165579
112,58,1.169219
110,58,1.161157
108,58,1.155474
106,58,1.160449
104,58,1.164818
102,58,1.173364
100,58,1.143658
98,58,1.162854
96,58,1.153901
94,58,1.186166
92,58,1.265163
90,58,1.234833
88,58,1.253532
86,58,1.286279
84,58,1.165673
82,58,1.168754
80,58,1.155281
78,58,1.147428
76,58,1.165
74,58,1.16437
72,58,1.166057
70,58,1.143511
68,58,1.153523
66,58,1.158279
64,58,1.152077
62,58,1.162826
60,58,1.119831
58,58,1.144554
56,58,1.179298
54,58,1.162522
52,58,1.144968
50,58,1.168528
48,58,1.284868
46,58,1.282071
44,58,1.188414
42,58,1.155928
40,58,1.97401
38,58,1.969428
36,58,1.970873
34,58,1.96603
32,58,1.953084
30,58,1.953398
28,58,1.96232
26,58,1.969077
24,58,1.966013
22,58,1.966387
20,58,1.967374
18,58,1.965361
16,58,1.968095
14,58,1.971073
12,58,1.968929
10,58,1.962911
8,58,1.96398
6,58,1.969325
4,58,1.961152
2,58,1.962231
0,58,1.960147
-2,58,1.965046
-4,58,1.960963
-6,58,1.956561
-8,58,1.956716
-10,58,1.962505
-12,58,1.952013
-14,58,1.953828
-16,58,1.953593
-18,58,1.955965
-20,58,1.95725
-22,58,1.959525
-24,58,1.959642
-26,58,1.966493
-28,58,1.968726
-30,58,1.965695
-32,58,1.959757
-34,58,1.97437
-36,58,1.964584
-38,58,1.958788
-40,58,1.954088
-42,58,1.140609
-44,58,1.123174
-46,58,1.144284
-48,58,1.147731
-50,58,1.114774
-52,58,1.148744
-54,58,1.164087
-56,58,1.1505
-58,58,1.15066
-60,58,1.261368
-62,58,1.199844
-64,58,1.160162
-66,58,1.173057
-68,58,1.252643
-70,58,1.176973
-72,58,1.14502
-74,58,1.129308
-76,58,1.140795
-78,58,1.12386
-80,58,1.147767
-82,58,1.162812
-84,58,1.154784
-86,58,1.157457
-88,58,1.118059
-90,58,1.162986
-92,58,1.133248
-94,58,1.13899
-96,58,1.133083
-98,58,1.125315
-100,58,1.150682
-102,58,1.105688
-104,58,1.158435
-106,58,1.145534
-108,58,1.162112
-110,58,1.145497
-112,58,1.144687
-114,58,1.124704
-116,58,1.147037
-118,58,1.13653
-120,58,1.131886
-122,58,1.125443
-124,58,1.127706
-126,58,1.147532
-128,58,1.122237
-130,56,1.156888
-128,56,1.130063
-126,56,1.172098
-124,56,1.113884
-122,56,1.141775
-120,56,1.133668
-118,56,1.152106
-116,56,1.147009
-114,56,1.149629
-112,56,1.14977
-110,56,1.120425
-108,56,1.14306
-106,56,1.133256
-104,56,1.154486
-102,56,1.153519
-100,56,1.119261
-98,56,1.13873
-96,56,1.128771
-94,56,1.130045
-92,56,1.130789
-90,56,1.138636
-88,56,1.138469
-86,56,1.145553
-84,56,1.159735
-82,56,1.153463
-80,56,1.151032
-78,56,1.146085
-76,56,1.134515
-74,56,1.14104
-72,56,1.136197
-70,56,1.121813
-68,56,1.251274
-66,56,1.176386
-64,56,1.150484
-62,56,1.171171
-60,56,1.265147
-58,56,1.142461
-56,56,1.128116
-54,56,1.156298
-52,56,1.140935
-50,56,1.113736
-48,56,1.119237
-46,56,1.142342
-44,56,1.14214
-42,56,1.133754
-40,56,1.954238
-38,56,1.961575
-36,56,1.959789
-34,56,1.967148
-32,56,1.954711
-30,56,1.960279
-28,56,1.963458
-26,56,1.968655
-24,56,1.960625
-22,56,1.959293
-20,56,1.959205
-18,56,1.95734
-16,56,1.95782
-14,56,1.958277
-12,56,1.952234
-10,56,1.964621
-8,56,1.959848
-6,56,1.950979
-4,56,1.962608
-2,56,1.963539
0,56,1.960501
2,56,1.957488
4,56,1.962915
6,56,1.968675
8,56,1.967996
10,56,1.964168
12,56,1.968782
14,56,1.966962
16,56,1.968052
18,56,1.970928
20,56,1.969408
22,56,1.974342
24,56,1.964043
26,56,1.970031
28,56,1.956146
30,56,1.955557
32,56,1.953917
34,56,1.962468
36,56,1.969985
38,56,1.971523
40,56,1.968834
42,56,1.152748
44,56,1.241977
46,56,1.206816
48,56,1.229238
50,56,1.206467
52,56,1.157601
54,56,1.174019
56,56,1.172429
58,56,1.161273
60,56,1.17689
62,56,1.18632
64,56,1.172604
66,56,1.180177
68,56,1.181029
70,56,1.184228
72,56,1.169364
74,56,1.173723
76,56,1.187646
78,56,1.156036
80,56,1.180036
82,56,1.159834
84,56,1.163884
86,56,1.100552
88,56,1.071583
90,56,1.111573
92,56,1.132986
94,56,1.160395
96,56,1.158743
98,56,1.162508
100,56,1.177808
102,56,1.181208
104,56,1.199675
106,56,1.160202
108,56,1.174347
110,56,1.190401
112,56,1.164938
114,56,1.173115
116,56,1.166571
118,56,1.161859
120,56,1.191965
122,56,1.15271
124,56,1.154704
126,56,1.169004
128,56,1.194055
130,56,1.171172
130,54,1.154814
128,54,1.16058
126,54,1.159145
124,54,1.145382
122,54,1.165041
120,54,1.16465
118,54,1.183413
116,54,1.149332
114,54,1.188521
112,54,1.199887
110,54,1.231229
108,54,1.175207
106,54,1.213612
104,54,1.191553
102,54,1.229684
100,54,1.168295
98,54,1.160358
96,54,1.152772
94,54,1.168259
92,54,1.162367
90,54,1.124991
88,54,1.148688
86,54,1.148719
84,54,1.185626
82,54,1.184029
80,54,1.168364
78,54,1.186751
76,54,1.186856
74,54,1.188575
72,54,1.166805
70,54,1.181411
68,54,1.16463
66,54,1.166328
64,54,1.180664
62,54,1.173431
60,54,1.147835
58,54,1.162696
56,54,1.229791
54,54,1.152861
52,54,1.145079
50,54,1.144409
48,54,1.141536
46,54,1.136317
44,54,1.181963
42,54,1.169998
40,54,1.165269
38,54,1.159498
36,54,1.171292
34,54,1.1589
32,54,1.161447
30,54,1.163853
28,54,1.194604
26,54,1.149329
24,54,1.18573
22,54,1.203437
20,54,1.202338
18,54,1.189601
16,54,1.179536
14,54,1.158109
12,54,1.16909
10,54,1.166696
8,54,1.158456
6,54,1.162746
4,54,1.145861
2,54,1.136654
0,54,1.129095
-2,54,1.12824
-4,54,1.125112
-6,54,1.136533
-8,54,1.154534
-10,54,1.143652
-12,54,1.145211
-14,54,1.155586
-16,54,1.151424
-18,54,1.152144
-20,54,1.146244
-22,54,1.157088
-24,54,1.153105
-26,54,1.160464
-28,54,1.153051
-30,54,1.150858
-32,54,1.146564
-34,54,1.143248
-36,54,1.146651
-38,54,1.134496
-40,54,1.126265
-42,54,1.133847
-44,54,1.140452
-46,54,1.135611
-48,54,1.12825
-50,54,1.145616
-52,54,1.15452
-54,54,1.132889
-56,54,1.155989
-58,54,1.141815
-60,54,1.146537
-62,54,1.160002
-64,54,1.162173
-66,54,1.14139
-68,54,1.149905
-70,54,1.144607
-72,54,1.143461
-74,54,1.148756
-76,54,1.151594
-78,54,1.15438
-80,54,1.156144
-82,54,1.155321
-84,54,1.155091
-86,54,1.160873
-88,54,1.148887
-90,54,1.147096
-92,54,1.140394
-94,54,1.142773
-96,54,1.139598
-98,54,1.13753
-100,54,1.13675
-102,54,1.132078
-104,54,1.135221
-106,54,1.127252
-108,54,1.167453
-110,54,1.133987
-112,54,1.142988
-114,54,1.137561
-116,54,1.138332
-118,54,1.119924
-120,54,1.140764
-122,54,1.142343
-124,54,1.138022
-126,54,1.155872
-128,54,1.146112
-130,54,1.159752
-132,52,1.116589
-130,52,1.135251
-128,52,1.157473
-126,52,1.170633
-124,52,1.976836
-122,52,1.965648
-120,52,1.963285
-118,52,1.963378
-116,52,1.947666
-114,52,1.945345
-112,52,1.944795
-110,52,1.951893
-108,52,1.939988
-106,52,1.958922
-104,52,1.950461
-102,52,1.950189
-100,52,1.951968
-98,52,1.944854
-96,52,1.947885
-94,52,1.951434
-92,52,1.952054
-90,52,1.957865
-88,52,1.958437
-86,52,1.965776
-84,52,1.960399
-82,52,1.967599
-80,52,1.95582
-78,52,1.964996
-76,52,1.95535
-74,52,1.953254
-72,52,1.955343
-70,52,1.948362
-68,52,1.949495
-66,52,1.957549
-64,52,1.9527
-62,52,1.955109
-60,52,1.95527
-58,52,1.953859
-56,52,1.941218
-54,52,1.943569
-52,52,1.950016
-50,52,1.955599
-48,52,1.962914
-46,52,1.952309
-44,52,1.957439
-42,52,1.139877
-40,52,1.947371
-38,52,1.93566
-36,52,1.949747
-34,52,1.965783
-32,52,1.954779
-30,52,1.964096
-28,52,1.959335
-26,52,1.96611
-24,52,1.966067
-22,52,1.964912
-20,52,1.961887
-18,52,1.960986
-16,52,1.965759
-14,52,1.961211
-12,52,1.955023
-10,52,1.97122
-8,52,1.967363
-6,52,1.97052
-4,52,1.96732
-2,52,1.961849
0,52,1.963192
2,52,1.956144
4,52,1.96855
6,52,1.97312
8,52,1.972714
10,52,1.971566
12,52,1.970675
14,52,1.972605
16,52,1.972078
18,52,1.962867
20,52,1.981382
22,52,1.977127
24,52,1.973968
26,52,1.967653
28,52,1.960752
30,52,1.960183
32,52,1.959356
34,52,1.965317
36,52,1.971532
38,52,1.970471
40,52,1.975447
42,52,1.141337
44,52,1.964819
46,52,1.969221
48,52,1.963975
50,52,1.968828
52,52,1.964578
54,52,1.952119
56,52,1.969557
58,52,1.960366
60,52,1.954128
62,52,1.966829
64,52,1.966249
66,52,1.9648
68,52,1.971661
70,52,1.965615
72,52,1.95821
74,52,1.960516
76,52,1.963067
78,52,1.967552
80,52,1.96476
82,52,1.966442
84,52,1.966458
86,52,1.968913
88,52,1.964869
90,52,1.964497
92,52,1.964609
94,52,1.967778
96,52,1.969462
98,52,1.972088
100,52,1.971355
102,52,1.973569
104,52,1.965471
106,52,1.964301
108,52,1.962295
110,52,1.947231
112,52,1.978428
114,52,1.964484
116,52,1.969072
118,52,1.968237
120,52,1.974338
122,52,1.97455
124,52,1.977622
126,52,1.976278
128,52,1.164531
130,52,1.177169
132,52,1.153798
132,50,1.186445
130,50,1.187896
128,50,1.173183
126,50,1.979611
124,50,1.97939
122,50,1.977963
120,50,1.979351
118,50,1.966681
116,50,1.970002
114,50,1.96425
112,50,1.969693
110,50,1.967319
108,50,1.975753
106,50,1.965695
104,50,1.979015
102,50,1.974738
100,50,1.97744
98,50,1.973914
96,50,1.971756
94,50,1.968227
92,50,1.967989
90,50,1.964497
88,50,1.961902
86,50,1.962215
84,50,1.965783
82,50,1.965384
80,50,1.966242
78,50,1.964865
76,50,1.966469
74,50,1.963954
72,50,1.961995
70,50,1.956566
68,50,1.95687
66,50,1.961206
64,50,1.96805
62,50,1.967365
60,50,1.954419
58,50,1.959447
56,50,1.95855
54,50,1.955687
52,50,1.968373
50,50,1.969509
48,50,1.968397
46,50,1.964285
44,50,1.968299
42,50,1.179473
40,50,1.970208
38,50,1.97444
36,50,1.977538
34,50,1.974611
32,50,1.964915
30,50,1.962455
28,50,1.964004
26,50,1.9662
24,50,1.977363
22,50,1.960962
20,50,1.966985
18,50,1.969701
16,50,1.974668
14,50,1.973621
12,50,1.975264
10,50,1.971442
8,50,1.977376
6,50,1.976351
4,50,1.969085
2,50,1.962668
0,50,1.962268
-2,50,1.959591
-4,50,1.970001
-6,50,1.965276
-8,50,1.965451
-10,50,1.972439
-12,50,1.960125
-14,50,1.966874
-16,50,1.967413
-18,50,1.961581
-20,50,1.964318
-22,50,1.965441
-24,50,1.967144
-26,50,1.968948
-28,50,1.969959
-30,50,1.96461
-32,50,1.957455
-34,50,1.958085
-36,50,1.947525
-38,50,1.952862
-40,50,1.954926
-42,50,1.136201
-44,50,1.960359
-46,50,1.9508
-48,50,1.960879
-50,50,1.956175
-52,50,1.942594
-54,50,1.952492
-56,50,1.956754
-58,50,1.945251
-60,50,1.947632
-62,50,1.966993
-64,50,1.957369
-66,50,1.956097
-68,50,1.94571
-70,50,1.955958
-72,50,1.958235
-74,50,1.963948
-76,50,1.955991
-78,50,1.96008
-80,50,1.956102
-82,50,1.970067
-84,50,1.960673
-86,50,1.967669
-88,50,1.955044
-90,50,1.95414
-92,50,1.947676
-94,50,1.949393
-96,50,1.954462
-98,50,1.948069
-100,50,1.955011
-102,50,1.943738
-104,50,1.960894
-106,50,1.95884
-108,50,1.941891
-110,50,1.95685
-112,50,1.951656
-114,50,1.943714
-116,50,1.933706
-118,50,1.962075
-120,50,1.960159
-122,50,1.963727
-124,50,1.972768
-126,50,1.147642
-128,50,1.131511
-130,50,1.157081
-132,50,1.13024
-132,48,1.177883
-130,48,1.132076
-128,48,1.166186
-126,48,1.125644
-124,48,1.965563
-122,48,1.962964
-120,48,1.971344
-118,48,1.968635
-116,48,1.943171
-114,48,1.954231
-112,48,1.947689
-110,48,1.95744
-108,48,1.941033
-106,48,1.963085
-104,48,1.936088
-102,48,1.951331
-100,48,1.950923
-98,48,1.963255
-96,48,1.954365
-94,48,1.953458
-92,48,1.951495
-90,48,1.948722
-88,48,1.960575
-86,48,1.958153
-84,48,1.958494
-82,48,1.966642
-80,48,1.951651
-78,48,1.950703
-76,48,1.957412
-74,48,1.955924
-72,48,1.957288
-70,48,1.962678
-68,48,1.947059
-66,48,1.953371
-64,48,1.955276
-62,48,1.964772
-60,48,1.958143
-58,48,1.962164
-56,48,1.957325
-54,48,1.958437
-52,48,1.946295
-50,48,1.957867
-48,48,1.95827
-46,48,1.956916
-44,48,1.957132
-42,48,1.140294
-40,48,1.951689
-38,48,1.958381
-36,48,1.95678
-34,48,1.954551
-32,48,1.95659
-30,48,1.961177
-28,48,1.965066
-26,48,1.974961
-24,48,1.969055
-22,48,1.968466
-20,48,1.958084
-18,48,1.959897
-16,48,1.96293
-14,48,1.971595
-12,48,1.961968
-10,48,1.968613
-8,48,1.964675
-6,48,1.965761
-4,48,1.96772
-2,48,1.961144
0,48,1.959155
2,48,1.964144
4,48,1.977812
6,48,1.975145
8,48,1.976577
10,48,1.977004
12,48,1.972019
14,48,1.974791
16,48,1.978366
18,48,1.973292
20,48,1.97034
22,48,1.968244
24,48,1.96671
26,48,1.967903
28,48,1.963888
30,48,1.965535
32,48,1.968182
34,48,1.979842
36,48,1.969653
38,48,1.968465
40,48,1.964929
42,48,1.191668
44,48,1.964815
46,48,1.963978
48,48,1.969437
50,48,1.967574
52,48,1.968647
54,48,1.955755
56,48,1.958312
58,48,1.954696
60,48,1.955756
62,48,1.964835
64,48,1.954304
66,48,1.969749
68,48,1.969785
70,48,1.949869
72,48,1.962781
74,48,1.966642
76,48,1.96452
78,48,1.965985
80,48,1.966334
82,48,1.96836
84,48,1.959571
86,48,1.955241
88,48,1.961367
90,48,1.965446
92,48,1.966517
94,48,1.969654
96,48,1.969052
98,48,1.975195
100,48,1.977115
102,48,1.974138
104,48,1.973821
106,48,1.951683
108,48,1.978672
110,48,1.967863
112,48,1.973879
114,48,1.960415
116,48,1.96627
118,48,1.963386
120,48,1.970705
122,48,1.974089
124,48,1.972079
126,48,1.974558
128,48,1.154111
130,48,1.156039
132,48,1.167278
134,46,1.176865
132,46,1.165953
130,46,1.160266
128,46,1.146271
126,46,1.975935
124,46,1.978038
122,46,1.974619
120,46,1.977855
118,46,1.96678
116,46,1.973122
114,46,1.961547
112,46,1.970824
110,46,1.979425
108,46,1.977504
106,46,1.96631
104,46,1.970836
102,46,1.969331
100,46,1.972286
98,46,1.971573
96,46,1.967556
94,46,1.97049
92,46,1.970031
90,46,1.968776
88,46,1.963588
86,46,1.960599
84,46,1.954219
82,46,1.966848
80,46,1.961343
78,46,1.97415
76,46,1.972458
74,46,1.965522
72,46,1.96673
70,46,1.972238
68,46,1.962895
66,46,1.958067
64,46,1.974786
62,46,1.967017
60,46,1.96353
58,46,1.961556
56,46,1.959799
54,46,1.956972
52,46,1.972499
50,46,1.969096
48,46,1.966218
46,46,1.972229
44,46,1.967219
42,46,1.139282
40,46,1.965415
38,46,1.966116
36,46,1.963249
34,46,1.971857
32,46,1.973723
30,46,1.959498
28,46,1.961096
26,46,1.968484
24,46,1.970178
22,46,1.970997
20,46,1.970991
18,46,1.975719
16,46,1.979791
14,46,1.984882
12,46,1.974978
10,46,1.978995
8,46,1.9742
6,46,1.978723
4,46,1.98549
2,46,1.972043
0,46,1.959185
-2,46,1.96411
-4,46,1.964421
-6,46,1.965659
-8,46,1.968285
-10,46,1.969623
-12,46,1.967602
-14,46,1.969437
-16,46,1.969304
-18,46,1.957643
-20,46,1.962598
-22,46,1.965257
-24,46,1.968641
-26,46,1.975257
-28,46,1.963739
-30,46,1.964159
-32,46,1.955988
-34,46,1.963141
-36,46,1.95739
-38,46,1.962234
-40,46,1.95151
-42,46,1.141606
-44,46,1.959199
-46,46,1.954667
-48,46,1.961912
-50,46,1.962244
-52,46,1.949652
-54,46,1.955535
-56,46,1.957258
-58,46,1.951264
-60,46,1.958694
-62,46,1.964356
-64,46,1.963201
-66,46,1.956406
-68,46,1.960781
-70,46,1.9543
-72,46,1.951905
-74,46,1.951888
-76,46,1.959093
-78,46,1.947162
-80,46,1.948302
-82,46,1.934242
-84,46,1.955481
-86,46,1.949581
-88,46,1.947094
-90,46,1.956664
-92,46,1.95151
-94,46,1.964435
-96,46,1.964128
-98,46,1.958046
-100,46,1.958789
-102,46,1.95568
-104,46,1.951424
-106,46,1.942465
-108,46,1.959507
-110,46,1.955572
-112,46,1.966731
-114,46,1.950551
-116,46,1.961741
-118,46,1.960916
-120,46,1.962946
-122,46,1.961262
-124,46,1.942767
-126,46,1.143101
-128,46,1.137826
-130,46,1.122495
-132,46,1.121094
-134,46,1.133141
-134,44,1.131193
-132,44,1.139597
-130,44,1.138782
-128,44,1.140456
-126,44,1.160867
-124,44,1.954925
-122,44,1.957285
-120,44,1.963204
-118,44,1.965561
-116,44,1.942626
-114,44,1.970241
-112,44,1.935957
-110,44,1.957263
-108,44,1.958974
-106,44,1.961817
-104,44,1.946235
-102,44,1.958192
-100,44,1.954756
-98,44,1.957477
-96,44,1.957097
-94,44,1.956221
-92,44,1.958723
-90,44,1.959969
-88,44,1.949579
-86,44,1.950493
-84,44,1.938592
-82,44,1.950626
-80,44,1.941981
-78,44,1.951038
-76,44,1.949299
-74,44,1.95049
-72,44,1.949883
-70,44,1.962282
-68,44,1.948819
-66,44,1.956135
-64,44,1.957742
-62,44,1.948984
-60,44,1.966326
-58,44,1.957692
-56,44,1.949837
-54,44,1.955283
-52,44,1.949981
-50,44,1.961774
-48,44,1.9636
-46,44,1.956827
-44,44,1.95677
-42,44,1.141883
-40,44,1.957698
-38,44,1.963369
-36,44,1.965797
-34,44,1.969892
-32,44,1.962874
-30,44,1.966975
-28,44,1.964754
-26,44,1.972009
-24,44,1.971106
-22,44,1.967132
-20,44,1.960393
-18,44,1.957998
-16,44,1.968631
-14,44,1.966184
-12,44,1.972324
-10,44,1.970366
-8,44,1.966748
-6,44,1.967216
-4,44,1.961613
-2,44,1.963706
0,44,1.967786
2,44,1.986627
4,44,1.962363
6,44,1.969751
8,44,1.975456
10,44,1.974428
12,44,1.980414
14,44,1.990016
16,44,1.983916
18,44,1.977392
20,44,1.974057
22,44,1.979683
24,44,1.974476
26,44,1.972403
28,44,1.96538
30,44,1.958226
32,44,1.959725
34,44,1.967064
36,44,1.966512
38,44,1.966671
40,44,1.971926
42,44,1.150927
44,44,1.968442
46,44,1.966672
48,44,1.970887
50,44,1.973037
52,44,1.971508
54,44,1.959837
56,44,1.964193
58,44,1.962899
60,44,1.961251
62,44,1.978795
64,44,1.969603
66,44,1.965723
68,44,1.968576
70,44,1.963966
72,44,1.976908
74,44,1.961217
76,44,1.962646
78,44,1.96725
80,44,1.96284
82,44,1.965459
84,44,1.964387
86,44,1.965738
88,44,1.973352
90,44,1.972569
92,44,1.971391
94,44,1.969979
96,44,1.967344
98,44,1.969757
100,44,1.96947
102,44,1.968458
104,44,1.96643
106,44,1.961693
108,44,1.976437
110,44,1.967008
112,44,1.969929
114,44,1.965627
116,44,1.959156
118,44,1.971267
120,44,1.982345
122,44,1.98257
124,44,1.981708
126,44,1.983159
128,44,1.167276
130,44,1.177056
132,44,1.183559
134,44,1.170975
134,42,1.166088
132,42,1.163147
130,42,1.164143
128,42,1.162406
126,42,1.976658
124,42,1.972896
122,42,1.967756
120,42,1.964345
118,42,1.953794
116,42,1.964561
114,42,1.973902
112,42,1.96627
110,42,1.979419
108,42,1.973478
106,42,1.962063
104,42,1.965939
102,42,1.965512
100,42,1.969224
98,42,1.967572
96,42,1.973758
94,42,1.970217
92,42,1.97631
90,42,1.972384
88,42,1.9743
86,42,1.971555
84,42,1.964015
82,42,1.964886
80,42,1.964319
78,42,1.964223
76,42,1.964455
74,42,1.961064
72,42,1.976731
70,42,1.961081
68,42,1.959987
66,42,1.961874
64,42,1.972089
62,42,1.970184
60,42,1.966249
