x_rel_mm,y_rel_mm,value
14,128,1.161766
16,128,1.154795
18,128,1.141525
20,128,1.158484
22,128,1.161187
24,128,1.152186
26,128,1.147118
28,128,1.156373
30,128,1.19641
32,128,1.26231
34,128,1.262598
36,128,1.196534
38,128,1.198497
40,128,1.165956
42,128,1.165561
44,128,1.14892
46,128,1.137323
48,128,1.166192
50,128,1.141206
52,128,1.158827
54,128,1.174205
56,128,1.139894
58,128,1.152384
60,128,1.157465
64,126,1.157589
62,126,1.16239
60,126,1.167275
58,126,1.149297
56,126,1.15091
54,126,1.14022
52,126,1.140733
50,126,1.146472
48,126,1.146799
46,126,1.147604
44,126,1.149308
42,126,1.159494
40,126,1.133595
38,126,1.14562
36,126,1.13648
34,126,1.129343
32,126,1.189416
30,126,1.266908
28,126,1.146672
26,126,1.151997
24,126,1.154614
22,126,1.158515
20,126,1.160451
18,126,1.167247
16,126,1.132268
14,126,1.144291
12,126,1.147852
10,126,1.155991
8,126,1.1381
6,126,1.144422
4,126,1.142114
2,126,1.151195
0,126,1.157259
-2,126,1.127875
-4,126,1.134438
-6,126,1.143715
-8,126,1.155235
-10,126,1.152156
-12,126,1.151564
-14,126,1.146642
-16,126,1.143929
-18,126,1.1938
-20,126,1.159413
-22,126,1.148365
-24,126,1.144683
-26,126,1.145241
-28,126,1.139503
-30,126,1.156145
-32,126,1.156915
-34,126,1.162549
-36,126,1.122456
-38,126,1.199246
-40,126,1.204352
-42,126,1.148487
-44,126,1.158044
-46,126,1.141724
-48,126,1.162941
-50,126,1.124966
-52,126,1.142713
-54,126,1.142776
-56,126,1.125392
-58,126,1.143481
-60,126,1.13844
-62,126,1.139003
-64,126,1.146689
-68,124,1.146554
-66,124,1.138946
-64,124,1.134163
-62,124,1.158211
-60,124,1.150195
-58,124,1.155946
-56,124,1.1398
-54,124,1.134786
-52,124,1.148471
-50,124,1.152323
-48,124,1.150088
-46,124,1.127204
-44,124,1.146139
-42,124,1.148176
-40,124,1.227921
-38,124,1.241074
-36,124,1.13705
-34,124,1.161004
-32,124,1.140967
-30,124,1.142488
-28,124,1.163595
-26,124,1.149781
-24,124,1.150337
-22,124,1.14396
-20,124,1.151281
-18,124,1.16277
-16,124,1.147201
-14,124,1.146922
-12,124,1.146248
-10,124,1.149162
-8,124,1.149739
-6,124,1.135477
-4,124,1.141187
-2,124,1.130312
0,124,1.129802
2,124,1.151016
4,124,1.150116
6,124,1.157445
8,124,1.130322
10,124,1.134598
12,124,1.149112
14,124,1.12817
16,124,1.156545
18,124,1.158183
20,124,1.134172
22,124,1.152197
24,124,1.139296
26,124,1.146341
28,124,1.136994
30,124,1.215729
32,124,1.216258
34,124,1.221049
36,124,1.126866
38,124,1.162142
40,124,1.1381
42,124,1.163348
44,124,1.133
46,124,1.139651
48,124,1.139368
50,124,1.15142
52,124,1.16701
54,124,1.157816
56,124,1.132841
58,124,1.154988
60,124,1.163188
62,124,1.191501
64,124,1.163412
66,124,1.146597
68,124,1.163627
72,122,1.173483
70,122,1.180305
68,122,1.164087
66,122,1.148635
64,122,1.162041
62,122,1.13941
60,122,1.165985
58,122,1.13621
56,122,1.190767
54,122,1.162426
52,122,1.134058
50,122,1.149045
48,122,1.159503
46,122,1.159625
44,122,1.142101
42,122,1.178465
40,122,1.140779
38,122,1.174419
36,122,1.173015
34,122,1.15818
32,122,1.271436
30,122,1.220174
28,122,1.258295
26,122,1.165459
24,122,1.168404
22,122,1.148551
20,122,1.141388
18,122,1.155949
16,122,1.141226
14,122,1.162925
12,122,1.153007
10,122,1.147296
8,122,1.126316
6,122,1.137334
4,122,1.143023
2,122,1.139957
0,122,1.146216
-2,122,1.139931
-4,122,1.142894
-6,122,1.164436
-8,122,1.142662
-10,122,1.141729
-12,122,1.166705
-14,122,1.136337
-16,122,1.17038
-18,122,1.156137
-20,122,1.154307
-22,122,1.157294
-24,122,1.154852
-26,122,1.154463
-28,122,1.170518
-30,122,1.167221
-32,122,1.146627
-34,122,1.152803
-36,122,1.140351
-38,122,1.259202
-40,122,1.211587
-42,122,1.145272
-44,122,1.136543
-46,122,1.12005
-48,122,1.137921
-50,122,1.159443
-52,122,1.136073
-54,122,1.14513
-56,122,1.140147
-58,122,1.129859
-60,122,1.149497
-62,122,1.134852
-64,122,1.149154
-66,122,1.162768
-68,122,1.149983
-70,122,1.139051
-72,122,1.152567
-74,120,1.147053
-72,120,1.125783
-70,120,1.139076
-68,120,1.143975
-66,120,1.164386
-64,120,1.135596
-62,120,1.135944
-60,120,1.144087
-58,120,1.141345
-56,120,1.137445
-54,120,1.144011
-52,120,1.120428
-50,120,1.122409
-48,120,1.128555
-46,120,1.140677
-44,120,1.1323
-42,120,1.144887
-40,120,1.13359
-38,120,1.1226
-36,120,1.160756
-34,120,1.145161
-32,120,1.134905
-30,120,1.161481
-28,120,1.151652
-26,120,1.135875
-24,120,1.142621
-22,120,1.163114
-20,120,1.125444
-18,120,1.184884
-16,120,1.158219
-14,120,1.15264
-12,120,1.149153
-10,120,1.137067
-8,120,1.146599
-6,120,1.187538
-4,120,1.134694
-2,120,1.159483
0,120,1.143841
2,120,1.142981
4,120,1.149469
6,120,1.141188
8,120,1.153883
10,120,1.122109
12,120,1.152737
14,120,1.158288
16,120,1.149197
18,120,1.160748
20,120,1.174383
22,120,1.1679
24,120,1.153911
26,120,1.129398
28,120,1.175464
30,120,1.187614
32,120,1.233517
34,120,1.138421
36,120,1.134258
38,120,1.152929
40,120,1.163523
42,120,1.184142
44,120,1.138323
46,120,1.139062
48,120,1.145586
50,120,1.139507
52,120,1.141859
54,120,1.144606
56,120,1.177637
58,120,1.148176
60,120,1.156772
62,120,1.153509
64,120,1.152194
66,120,1.152542
68,120,1.154856
70,120,1.167562
72,120,1.16976
74,120,1.171033
78,118,1.166198
76,118,1.157771
74,118,1.175279
72,118,1.142122
70,118,1.155427
68,118,1.153504
66,118,1.143498
64,118,1.158594
62,118,1.154134
60,118,1.14215
58,118,1.13872
56,118,1.134799
54,118,1.153523
52,118,1.144192
50,118,1.15359
48,118,1.150868
46,118,1.142778
44,118,1.148778
42,118,1.168994
40,118,1.139182
38,118,1.148095
36,118,1.155849
34,118,1.165461
32,118,1.146773
30,118,1.225524
28,118,1.206303
26,118,1.247509
24,118,1.178501
22,118,1.131925
20,118,1.127967
18,118,1.140107
16,118,1.15125
14,118,1.146376
12,118,1.138906
10,118,1.144919
8,118,1.131768
6,118,1.15129
4,118,1.155749
2,118,1.141053
0,118,1.124936
-2,118,1.143715
-4,118,1.136398
-6,118,1.190427
-8,118,1.156991
-10,118,1.138057
-12,118,1.145123
-14,118,1.153537
-16,118,1.154922
-18,118,1.160961
-20,118,1.150912
-22,118,1.163882
-24,118,1.134229
-26,118,1.147478
-28,118,1.136719
-30,118,1.141522
-32,118,1.137687
-34,118,1.142602
-36,118,1.156544
-38,118,1.155707
-40,118,1.12337
-42,118,1.14358
-44,118,1.131574
-46,118,1.139552
-48,118,1.12564
-50,118,1.138178
-52,118,1.167622
-54,118,1.123481
-56,118,1.133096
-58,118,1.127515
-60,118,1.148454
-62,118,1.131278
-64,118,1.130092
-66,118,1.172074
-68,118,1.141043
-70,118,1.137826
-72,118,1.138278
-74,118,1.162184
-76,118,1.155379
-78,118,1.1683
-80,116,1.184626
-78,116,1.158802
-76,116,1.142123
-74,116,1.15041
-72,116,1.134505
-70,116,1.155064
-68,116,1.144572
-66,116,1.118824
-64,116,1.145384
-62,116,1.133906
-60,116,1.144612
-58,116,1.126983
-56,116,1.150882
-54,116,1.13305
-52,116,1.178975
-50,116,1.17518
-48,116,1.136961
-46,116,1.155993
-44,116,1.148723
-42,116,1.144755
-40,116,1.110968
-38,116,1.152584
-36,116,1.138549
-34,116,1.151649
-32,116,1.140162
-30,116,1.161374
-28,116,1.151906
-26,116,1.147918
-24,116,1.145096
-22,116,1.143086
-20,116,1.145854
-18,116,1.149113
-16,116,1.152162
-14,116,1.148348
-12,116,1.152448
-10,116,1.162515
-8,116,1.167448
-6,116,1.193094
-4,116,1.137697
-2,116,1.122785
0,116,1.13149
2,116,1.141907
4,116,1.159334
6,116,1.156937
8,116,1.14507
10,116,1.161124
12,116,1.152486
14,116,1.163645
16,116,1.166166
18,116,1.159241
20,116,1.150503
22,116,1.168223
24,116,1.238314
26,116,1.173483
28,116,1.17691
30,116,1.246894
32,116,1.159645
34,116,1.1682
36,116,1.16827
38,116,1.150002
40,116,1.149886
42,116,1.146461
44,116,1.147214
46,116,1.136134
48,116,1.145711
50,116,1.145669
52,116,1.158027
54,116,1.162528
56,116,1.177354
58,116,1.153332
60,116,1.155867
62,116,1.151755
64,116,1.15485
66,116,1.150178
68,116,1.141026
70,116,1.153868
72,116,1.157224
74,116,1.15767
76,116,1.160303
78,116,1.136325
80,116,1.199458
84,114,1.150075
82,114,1.165872
80,114,1.168127
78,114,1.168977
76,114,1.144453
74,114,1.150426
72,114,1.155273
70,114,1.158457
68,114,1.163336
66,114,1.144957
64,114,1.158609
62,114,1.142287
60,114,1.151954
58,114,1.149356
56,114,1.141957
54,114,1.168186
52,114,1.1325
50,114,1.1194
48,114,1.157781
46,114,1.145093
44,114,1.139291
42,114,1.175754
40,114,1.157265
38,114,1.151536
36,114,1.140618
34,114,1.153797
32,114,1.153246
30,114,1.283157
28,114,1.225761
26,114,1.192594
24,114,1.194012
22,114,1.14928
20,114,1.149329
18,114,1.178853
16,114,1.149547
14,114,1.147836
12,114,1.144714
10,114,1.133309
8,114,1.133694
6,114,1.156705
4,114,1.153019
2,114,1.133807
0,114,1.144353
-2,114,1.151523
-4,114,1.141989
-6,114,1.139261
-8,114,1.160993
-10,114,1.138172
-12,114,1.161356
-14,114,1.15155
-16,114,1.158183
-18,114,1.183885
-20,114,1.151977
-22,114,1.156265
-24,114,1.157519
-26,114,1.148439
-28,114,1.144284
-30,114,1.153097
-32,114,1.151001
-34,114,1.124864
-36,114,1.156954
-38,114,1.14881
-40,114,1.13823
-42,114,1.149944
-44,114,1.154751
-46,114,1.129681
-48,114,1.116089
-50,114,1.07904
-52,114,1.104669
-54,114,1.182298
-56,114,1.137639
-58,114,1.127892
-60,114,1.134288
-62,114,1.126812
-64,114,1.139497
-66,114,1.141247
-68,114,1.14072
-70,114,1.145598
-72,114,1.160309
-74,114,1.154351
-76,114,1.125973
-78,114,1.15419
-80,114,1.138813
-82,114,1.147669
-84,114,1.145661
-86,112,1.155509
-84,112,1.173162
-82,112,1.146224
-80,112,1.133221
-78,112,1.181454
-76,112,1.154854
-74,112,1.15661
-72,112,1.148996
-70,112,1.141558
-68,112,1.144116
-66,112,1.139707
-64,112,1.145662
-62,112,1.127606
-60,112,1.134073
-58,112,1.136539
-56,112,1.154492
-54,112,1.183568
-52,112,1.275369
-50,112,1.25792
-48,112,1.094991
-46,112,1.11492
-44,112,1.14638
-42,112,1.148536
-40,112,1.140178
-38,112,1.125574
-36,112,1.124498
-34,112,1.147338
-32,112,1.132035
-30,112,1.176571
-28,112,1.145658
-26,112,1.159571
-24,112,1.158483
-22,112,1.151831
-20,112,1.148465
-18,112,1.151904
